,Compound ID,Solubility,SD,Ocurrences,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
122,etacelasil,-1.1029,0.0,1,316.8540000000001,1.1531,74.76500000000006,19.0,6.0,0.0,8.0,14.0,116.0,0.0,0.0,0.0,0.0,55.38000000000001,121.12418260782046,4.373733767178668,171.4948987286046
123,Sulfisoxazole,-2.91,0.6023841520713065,3,267.31,1.6744399999999997,67.63990000000003,18.0,5.0,2.0,7.0,3.0,96.0,2.0,0.0,0.0,2.0,98.22,104.83424387818272,2.327592361324992,659.3419266315426
124,fentanyl,-3.82,0.2970499999999998,2,336.479,4.136700000000003,103.82700000000006,25.0,2.0,0.0,3.0,6.0,132.0,2.0,1.0,1.0,3.0,23.550000000000004,150.81327675644835,1.567632131858489,648.2421416714782
125,ferimzone,-3.2,0.0,1,254.337,3.237960000000002,78.51870000000004,19.0,4.0,1.0,4.0,3.0,98.0,2.0,0.0,0.0,2.0,50.17,113.1678245491402,2.2049454385090903,597.042681183157
126,butyraldehyde,-0.1590074228,0.0761537113999999,2,72.107,0.9854,20.971999999999998,5.0,1.0,0.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,17.07,31.99559947106314,2.4017152226171965,24.82892142331044
127,n-tridecane,-7.5936,0.0,1,184.367,5.317300000000005,62.13500000000006,13.0,0.0,0.0,0.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,85.11855640058886,2.758149818433293,66.10749561002055
128,Tin,-7.472430972100001,0.0,1,118.711,-0.3808,5.754,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,24.44696061217174,0.0,0.0
129,iodamide,-2.3208,0.0,1,627.9420000000002,2.793100000000001,103.37670000000004,21.0,3.0,3.0,9.0,4.0,114.0,1.0,0.0,0.0,1.0,95.5,161.78509458855092,3.5445652835027213,631.6639332347906
130,phosphamidon,0.5233,0.0,1,299.69100000000003,2.7426000000000013,69.19050000000004,18.0,5.0,0.0,8.0,7.0,106.0,0.0,0.0,0.0,0.0,65.07000000000001,112.44899538533927,5.01806028081648,359.2795397887988
131,2-pteridinone,-2.0,0.0265,2,148.125,-0.2869000000000001,37.953700000000005,11.0,4.0,1.0,5.0,0.0,54.0,2.0,0.0,0.0,2.0,71.53,61.15318167506198,2.935350797972025,435.53037088475946
132,proxicromil,-2.68,0.0,1,302.326,3.028100000000001,81.74510000000002,22.0,4.0,2.0,5.0,3.0,116.0,2.0,0.0,1.0,3.0,87.74000000000001,126.74310194136444,2.456156422353029,816.1347087478756
133,DEF,-5.14,0.2471499999999999,2,314.5220000000001,6.694400000000005,89.70450000000005,17.0,4.0,0.0,5.0,12.0,104.0,0.0,0.0,0.0,0.0,17.07,119.65829813173688,3.998982972846674,178.6432094953352
134,"2,2-bipyridine",-1.4206,0.0,1,156.188,2.1435999999999997,47.46800000000002,12.0,2.0,0.0,2.0,1.0,58.0,2.0,0.0,0.0,2.0,25.78,70.927793287454,2.457149480139045,305.2315895504568
135,divinyl ether,-1.261,0.1506499999999999,2,70.09100000000001,1.29,21.478999999999992,5.0,1.0,0.0,1.0,2.0,28.0,0.0,0.0,0.0,0.0,9.23,31.568416536157745,2.6531630746803305,32.912609383243264
136,Phenacetin  ,-2.3,0.0558349567923179,5,179.219,2.0437,51.914700000000025,13.0,2.0,1.0,3.0,3.0,70.0,1.0,0.0,0.0,1.0,38.33,77.71610109024209,2.635972640607562,279.48114931490306
137,hexacosane,-8.3339,0.0080499999999998,2,366.7180000000002,10.388599999999991,122.15600000000012,26.0,0.0,0.0,0.0,23.0,158.0,0.0,0.0,0.0,0.0,0.0,167.86280388774483,2.94691201256248,196.0782000346156
138,fervenulin,-1.9849,0.0,1,193.166,-1.5778,47.81500000000001,14.0,7.0,0.0,7.0,0.0,72.0,2.0,0.0,0.0,2.0,82.66999999999999,77.65263252644085,3.190149417965173,611.4867558573088
139,furilazole,-3.1498,0.0,1,278.135,2.7193000000000014,63.82000000000004,17.0,3.0,0.0,6.0,2.0,94.0,1.0,1.0,1.0,2.0,42.68,109.41592948433818,2.1759549794168977,402.8588593093177
140,chlorine,-1.0513,0.041342722474506,3,70.906,1.379,11.706,2.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,22.57062952123243,1.0,0.0
141,prop-2-yn-1-ol,1.2513159198,0.0,1,56.064,-0.3881000000000001,15.9188,4.0,1.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,20.23,25.262594400678047,2.4330963097956344,33.03830640231605
142,pyrimidine,1.0964,0.0,1,80.08999999999999,0.4765999999999999,22.032,6.0,2.0,0.0,2.0,0.0,30.0,1.0,0.0,0.0,1.0,25.78,35.870699081389986,3.000000000000001,77.47078006212229
143,thiamylal,-3.4585,0.0,1,254.355,1.5159999999999998,70.20240000000003,17.0,3.0,2.0,5.0,5.0,94.0,0.0,1.0,1.0,1.0,58.2,106.83972891498723,3.113648891223277,345.5171294787495
144,phenallymal,-2.18,0.0969681906606492,4,244.25,0.8664999999999998,64.61540000000002,18.0,3.0,2.0,5.0,3.0,92.0,1.0,1.0,1.0,2.0,75.27000000000001,103.87485440190714,2.560321214073008,502.2977111302937
145,zinc acetate,0.2179,0.0,1,183.478,-2.490099999999999,21.36199999999999,9.0,4.0,0.0,5.0,0.0,48.0,0.0,0.0,0.0,0.0,80.25999999999999,65.63474827159301,-7.199999951999999e-08,70.56842503028855
146,diosgenin,-7.3166,0.0,1,414.6300000000003,5.713900000000006,117.70080000000006,30.0,3.0,1.0,3.0,0.0,168.0,0.0,5.0,6.0,6.0,38.69,182.52448025999152,1.2821987670487944,736.3902102956507
147,RTI 5,-3.324,0.0,1,253.30499999999995,2.829600000000001,76.09250000000003,19.0,3.0,0.0,4.0,1.0,96.0,2.0,0.0,1.0,3.0,36.44,111.84327205101522,2.314459898588003,638.7927427712117
148,sarafloxacin,-3.13,0.0050000000000001,2,385.37000000000006,2.3767000000000005,101.503,28.0,5.0,2.0,8.0,3.0,144.0,3.0,1.0,1.0,4.0,74.57,158.17670535523928,2.0131648557301696,1120.2294594201444
149,picloram,-2.7494,0.0097,2,241.461,2.3222,50.63869999999999,13.0,3.0,2.0,7.0,1.0,70.0,1.0,0.0,0.0,1.0,76.21000000000001,88.22143844473759,3.497381360537993,380.6323805179055
150,tonalid,-5.3154,0.0,1,258.4049999999999,4.792620000000005,81.01650000000005,19.0,1.0,0.0,1.0,1.0,104.0,1.0,0.0,1.0,2.0,17.07,116.96639943877078,2.754631816447549,534.866419318812
151,melphalan,-3.49,0.0,1,305.2049999999999,1.925,79.41020000000003,19.0,3.0,2.0,6.0,8.0,106.0,1.0,0.0,0.0,1.0,66.56,122.64801059349244,2.7067949179355035,392.1346196779266
152,bentazone,-2.6817,0.0,1,240.284,1.2074999999999998,60.29000000000003,16.0,3.0,1.0,6.0,1.0,86.0,1.0,0.0,1.0,2.0,66.48,94.25271178045293,2.606555900520484,536.7500531426354
153,acetamiprid,-1.7244,0.0,1,222.679,2.06628,59.43600000000002,15.0,3.0,0.0,5.0,2.0,78.0,1.0,0.0,0.0,1.0,52.28,93.8267637368404,2.6689213373040763,390.8785697756128
154,Chlordene,-5.64,0.125,2,338.876,5.024200000000001,71.07400000000001,16.0,0.0,0.0,6.0,0.0,88.0,0.0,1.0,3.0,3.0,0.0,123.44662789373284,2.322732831937334,438.5902084254824
155,nabam,-0.1078,0.0,1,256.354,-6.162799999999998,55.93140000000001,12.0,4.0,2.0,8.0,3.0,58.0,0.0,0.0,0.0,0.0,24.06,138.7882948048726,-4.049999451000077e-07,127.01955000865388
156,vinbarbital,-2.31,0.0,1,224.26,1.1050999999999995,58.45340000000003,16.0,3.0,2.0,5.0,3.0,88.0,0.0,1.0,1.0,1.0,75.27000000000001,94.27752865342954,3.2037805931017176,351.4259647966728
157,toluene,-2.2062982993,0.0231346988532763,3,92.141,1.99502,31.17899999999999,7.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,1.0,0.0,43.79634523389357,3.0214653097240864,129.96566024533826
158,cantharidin,-3.8156,0.0,1,196.202,0.6436,45.20800000000003,14.0,4.0,0.0,4.0,0.0,76.0,0.0,3.0,3.0,3.0,52.6,81.55637125591262,2.210427288035272,318.0311611649559
159,Flumethasone,-5.613,0.0,1,410.4570000000002,1.8437,100.22340000000004,29.0,5.0,3.0,7.0,2.0,160.0,0.0,3.0,4.0,4.0,94.83,168.0373210142009,1.870214328192292,839.0592591842883
160,norgestrel,-5.2567,0.0,1,312.45300000000003,3.8826000000000023,90.49280000000005,23.0,2.0,1.0,2.0,1.0,124.0,0.0,3.0,4.0,4.0,37.3,139.2801469135596,1.6711962826978068,597.4530522903293
161,aziprotryne,-3.48,0.0662,2,225.28100000000003,2.3556,59.17270000000002,15.0,6.0,1.0,8.0,4.0,80.0,1.0,0.0,0.0,1.0,99.46,91.356809747671,3.0461652404209065,384.92513219178056
162,metolazone,-3.783,0.0364999999999999,2,365.8420000000001,2.7141199999999994,93.89840000000002,24.0,4.0,2.0,8.0,2.0,126.0,2.0,0.0,1.0,3.0,92.5,144.8175853997829,2.167413797290446,943.5789765253188
163,Basic red 1:1,-1.3909846109,0.0,1,464.9930000000003,3.8051400000000033,132.70389999999995,33.0,4.0,2.0,6.0,6.0,172.0,4.0,0.0,0.0,4.0,61.66,200.10406507752947,3.062496356212904e-06,1264.4973087394076
164,butyronitrile,-0.321,0.0077520328999999,2,69.107,1.31008,20.520999999999997,5.0,1.0,0.0,1.0,1.0,28.0,0.0,0.0,0.0,0.0,23.79,32.226657052488086,2.483699570591265,42.09986547010987
165,fluoranthene,-5.93,0.0415879255981299,3,202.256,4.487200000000003,68.37800000000003,16.0,0.0,0.0,0.0,0.0,74.0,3.0,0.0,1.0,4.0,0.0,94.16433070376698,2.312996465176316,650.310154499518
166,chipcote,-0.0821,0.0,1,241.643,0.59808,11.477,4.0,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,23.79,38.05157195610322,2.4330963097956344,35.79319390447952
167,nalidixic_acid,-3.61,0.2058320836669218,3,232.239,1.42302,63.373300000000015,17.0,4.0,1.0,5.0,2.0,88.0,2.0,0.0,0.0,2.0,72.19,97.33938150959052,2.946743972758102,658.5837076111416
168,isopropalin,-6.4491,0.0204500000000003,2,309.36600000000004,4.252800000000004,86.63480000000003,22.0,5.0,0.0,7.0,8.0,122.0,1.0,0.0,0.0,1.0,89.51999999999998,129.78166726426937,3.6210484465888126,516.7136957630747
169,Benzoin,-2.85,0.0,1,198.221,2.905800000000001,57.84250000000002,15.0,2.0,0.0,2.0,2.0,74.0,2.0,0.0,0.0,2.0,26.3,88.12850676950826,2.116421993117775,434.6078366577884
170,benzyl formate,-1.6731198028999998,0.0,1,136.14999999999998,1.3596,37.295000000000016,10.0,2.0,0.0,2.0,3.0,52.0,1.0,0.0,0.0,1.0,26.3,59.43635467784082,2.4987708532837547,193.6723816963364
171,tetracaine,-3.01,0.0,1,264.369,2.617000000000001,78.67620000000005,19.0,4.0,1.0,4.0,8.0,106.0,1.0,0.0,0.0,1.0,41.57,115.3006453324285,2.3945481718983954,374.236893489923
172,metosulam,-3.3204,0.0,1,418.26200000000017,2.55752,95.89350000000002,26.0,8.0,1.0,12.0,5.0,138.0,3.0,0.0,0.0,3.0,107.71,158.47314256400767,2.094464056289544,1100.4004691207454
173,isocarbamid,-2.1538,0.0,1,185.227,0.3772000000000003,48.34140000000002,13.0,2.0,2.0,5.0,2.0,74.0,0.0,1.0,1.0,1.0,61.440000000000005,77.47061691258357,2.343705379279258,215.43467881229333
174,dimethoxon,0.6712,0.0,1,213.195,0.8664999999999998,48.14920000000002,12.0,5.0,1.0,7.0,5.0,72.0,0.0,0.0,0.0,0.0,64.63000000000001,75.47212929291317,3.89250063709835,189.887241290925
175,chlorthalidone,-3.4507,0.0,1,338.7720000000001,0.9242000000000008,79.7322,22.0,4.0,3.0,8.0,2.0,114.0,2.0,0.0,1.0,3.0,109.49,131.1221012529823,2.229556596462052,897.4658924470712
176,cadmium,-4.1112934221,0.2888957083000001,2,112.412,-0.0025,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.651029333465317,0.0,0.0
177,tubercidin,-1.9515,0.0,1,266.257,-1.3750000000000009,64.94980000000002,19.0,8.0,4.0,8.0,2.0,102.0,2.0,1.0,1.0,3.0,126.65,107.62651212229626,2.035435145869755,601.3927524598979
178,diflufenzopyr,-3.7248,0.0,1,334.28200000000004,2.603700000000001,81.91970000000003,24.0,4.0,3.0,9.0,4.0,124.0,2.0,0.0,0.0,2.0,103.68,134.58144539554115,2.0951283656645523,803.8665051436037
179,mcpb-ethyl,-4.4095,0.0,1,256.729,3.3705200000000017,67.55100000000004,17.0,3.0,0.0,4.0,6.0,94.0,1.0,0.0,0.0,1.0,35.53,106.67787670621242,2.287026248481329,376.9273661561467
180,bioresmethrin,-6.0524,0.4492500000000001,2,338.44700000000006,5.1520000000000055,97.94400000000007,25.0,3.0,0.0,3.0,6.0,132.0,2.0,1.0,1.0,3.0,39.44,149.2417651062343,1.5422099361914814,763.57983714686
181,coronene,-8.83,0.25075,2,300.36,6.919200000000003,105.03600000000004,24.0,0.0,0.0,0.0,0.0,108.0,7.0,0.0,0.0,7.0,0.0,137.45846495031495,2.1132609847421806,1140.946634757434
182,5-methyluracil,-1.5187,0.0063499999999999,2,126.115,-0.6283800000000002,32.420399999999994,9.0,2.0,2.0,4.0,0.0,48.0,1.0,0.0,0.0,1.0,65.72,50.55868539587412,3.523897718994017,309.2243004823359
183,oxythioquinox,-5.3698,0.0,1,234.305,2.5746200000000004,63.805000000000014,15.0,5.0,0.0,5.0,0.0,74.0,3.0,0.0,0.0,3.0,42.85,93.05170646005595,2.5145236538247846,714.0826797621032
184,RTI 13,-4.207,0.0,1,322.29,3.5275200000000018,78.84620000000002,23.0,4.0,1.0,8.0,1.0,120.0,2.0,0.0,1.0,3.0,58.120000000000005,129.71449686854172,2.331666499118501,788.776836165183
185,Methylparaben,-1.827,0.0859293376344205,5,152.149,1.1788,39.446300000000015,11.0,3.0,1.0,3.0,1.0,58.0,1.0,0.0,0.0,1.0,46.53,64.23058843003683,2.8953480359887567,250.54461008172763
186,triallate,-4.8818,0.0,1,304.67,4.843900000000003,74.55000000000003,16.0,2.0,0.0,6.0,4.0,94.0,0.0,0.0,0.0,0.0,20.31,116.28839150147216,4.395102108176326,267.2377071841887
187,dmtt (dazomet),-1.7331,0.1984499999999999,2,162.283,0.7967,45.44900000000002,9.0,3.0,0.0,4.0,0.0,52.0,0.0,1.0,1.0,1.0,6.48,65.19474594486361,2.438362799199123,126.12640240679956
188,reserpine,-5.97,0.0,1,608.6880000000003,4.171100000000004,160.68719999999965,44.0,10.0,1.0,11.0,8.0,236.0,3.0,2.0,3.0,6.0,117.78000000000002,256.1734234680975,1.293564642858826,1526.4817827505706
189,taurine,-0.1906,0.0,1,125.14899999999996,-1.1670999999999996,25.47,7.0,3.0,2.0,5.0,2.0,44.0,0.0,0.0,0.0,0.0,80.39,42.07271984927949,3.602196822415083,125.87033355475133
190,dl-valine,-0.1971,0.0737282260447095,3,117.14799999999998,0.0543,30.44919999999999,8.0,2.0,2.0,3.0,2.0,48.0,0.0,0.0,0.0,0.0,63.32,48.49466603466847,3.637682547839839,90.42945954287092
191,phthalamide,-2.932,0.0,1,149.149,0.0011999999999999,38.40970000000001,11.0,2.0,1.0,3.0,0.0,56.0,0.0,1.0,2.0,2.0,46.17,63.77588384087439,2.365680204607201,249.81664552240943
192,suberonitrile,-1.0810922867,0.0,1,136.198,2.3741600000000007,38.928,10.0,2.0,0.0,2.0,5.0,54.0,0.0,0.0,0.0,0.0,47.58,62.079005191543246,2.8030823921911323,120.317030992143
193,isocil,-2.0604,0.0,1,247.092,1.1884199999999998,54.144700000000014,13.0,3.0,1.0,5.0,1.0,72.0,1.0,0.0,0.0,1.0,54.86,83.73103083130063,3.641474186869312,430.75065909617945
194,Dyphylline,-0.17,0.1436,2,254.246,-2.213099999999999,63.30760000000002,18.0,8.0,2.0,8.0,3.0,98.0,2.0,0.0,0.0,2.0,102.28,101.34730875133458,2.7364643675188978,696.1911960747241
195,cytosine,-1.1426,0.0086999999999999,2,111.104,-0.6479000000000001,29.2701,8.0,3.0,2.0,4.0,0.0,42.0,1.0,0.0,0.0,1.0,71.77,45.37211187844647,3.277417459528498,228.72507399518807
196,flumetralin,-6.625,0.0774499999999998,2,421.7340000000001,5.340800000000003,92.88680000000004,28.0,5.0,0.0,12.0,6.0,150.0,2.0,0.0,0.0,2.0,89.51999999999998,159.979458736937,2.725550042719448,881.3358721418774
197,glybuthiazole,-3.74,0.0,1,312.42,2.2186000000000003,80.27190000000002,20.0,6.0,2.0,8.0,3.0,108.0,2.0,0.0,0.0,2.0,97.97,121.64690735689253,2.2454848870473523,699.8037074429856
198,ethyl_acrylate,-0.74,0.0520447361497181,3,100.117,0.7355,26.829999999999988,7.0,2.0,0.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,26.3,42.78448378278237,3.172899533850818,76.14933958998697
199,cyclopentene,-2.1049144818000003,0.2621168996999998,2,68.11900000000001,1.7265,22.990999999999996,5.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,1.0,0.0,32.50358529970249,2.3238508690240813,38.0
